date,A036570_엔씨소프트,A078340_컴투스,A112040_위메이드,A181710_NHN,A192080_더블유게임즈,A194480_데브시스터즈,A251270_넷마블,A259960_크래프톤,A263750_펄어비스,A293490_카카오게임즈,close
2021-12-17,670000,153700,161200,49086,56700,91500,118000,494500,120100,86700,1513.35
2021-12-20,655000,151600,160400,47938,55900,89500,121500,471000,123600,85900,1498.21
2021-12-21,663000,158100,170900,47938,56400,91100,119500,466500,126000,88300,1503.71
2021-12-22,665000,156700,181400,49190,57100,90100,120000,470500,125100,90700,1515.85
2021-12-23,656000,158800,178900,49190,56700,88700,121000,464000,124400,89700,1506.2
2021-12-24,656000,161000,174400,48617,58100,90100,121000,463000,126500,90700,1509.94
2021-12-27,657000,166100,172000,43818,57700,87400,121500,450500,131100,92200,1507.47
2021-12-28,656000,167000,184000,44600,57500,88600,121000,462000,140000,93100,1527.37
2021-12-29,660000,157200,180400,43850,57600,106100,119000,467000,135200,89600,1517.83
2021-12-30,643000,158200,177900,45000,57900,105200,125000,460000,138300,91000,1527.83
2022-01-03,667000,158400,183900,43450,59200,105800,127500,460000,134000,93000,1546.79
2022-01-04,657000,154300,169200,42750,58700,100700,123000,444000,130500,90300,1502.91
2022-01-05,625000,150000,156600,41600,57100,98200,118000,417000,125800,86400,1435.17
2022-01-06,601000,134200,138200,40450,55100,92100,112500,402000,116800,74100,1355
2022-01-07,606000,141100,150800,40450,55600,92800,113000,394500,119400,74300,1360.88
2022-01-10,614000,139400,151500,39700,55100,89900,111500,381500,116100,74200,1345.26
2022-01-11,604000,131100,138100,39400,54100,83600,110000,365000,116000,72700,1314.91
2022-01-12,616000,134100,146000,42900,54800,89100,114000,367500,118700,74400,1346.81
2022-01-13,605000,131700,143100,41350,54600,88500,112500,346500,113900,71100,1307.5
2022-01-14,583000,129500,137000,40500,54200,88100,110500,343500,113800,70800,1284.57
2022-01-17,588000,129800,137800,40550,53600,88100,112000,341000,111900,69800,1285.6
2022-01-18,578000,128400,129900,40450,52800,84800,108500,340500,109000,68900,1262.39
2022-01-19,582000,130400,129400,39500,52100,81900,105500,324500,107500,68000,1240.22
2022-01-20,578000,139500,138500,40000,53500,81900,116000,325000,112700,71400,1284.39
2022-01-21,565000,136600,137000,41600,52700,76200,118500,310000,114000,71800,1273.11
2022-01-24,567000,133600,128800,37050,51400,74200,118500,302000,105000,69700,1247.55
2022-01-25,558000,134000,123000,34650,49950,71000,117500,291000,101600,69100,1222.51
2022-01-26,562000,135500,133400,34600,50700,70000,115500,276500,99000,70500,1207.69
